City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,291.59,98,100,11.06,SH,1704782899
1,arawa,-6.2132,155.5367,301.29,88,100,1.13,PG,1704782900
2,chibuto,-24.6867,33.5306,303.25,50,7,1.75,MZ,1704782900
3,hermanus,-34.4187,19.2345,293.69,69,10,5.0,ZA,1704782895
4,pyt-yakh,60.7499,72.8582,251.85,92,76,4.77,RU,1704782900
5,atafu village,-8.5421,-172.5159,302.79,70,17,5.78,TK,1704782900
6,qaqortoq,60.7167,-46.0333,270.39,84,100,2.25,GL,1704782901
7,grytviken,-54.2811,-36.5092,277.3,85,89,0.9,GS,1704782901
8,blackmans bay,-43.0167,147.3167,292.89,59,6,2.55,AU,1704782901
9,westport,41.1415,-73.3579,273.99,78,0,1.54,US,1704782752
10,port elizabeth,-33.918,25.5701,297.77,77,65,0.45,ZA,1704782901
11,puerto baquerizo moreno,-0.9,-89.6,297.12,89,19,5.74,EC,1704782902
12,weno,7.4515,151.8468,302.12,74,75,5.66,FM,1704782902
13,port-aux-francais,-49.35,70.2167,277.98,77,100,9.4,TF,1704782902
14,mahina,-17.5065,-149.489,300.02,83,40,1.03,PF,1704782902
15,carnarvon,-24.8667,113.6333,299.51,63,0,9.72,AU,1704782903
16,tsiombe,-25.3,45.4833,303.42,57,12,4.53,MG,1704782903
17,mariinsk,56.2139,87.7472,259.72,83,100,8.53,RU,1704782903
18,grenville,12.1167,-61.6167,299.93,79,81,7.74,GD,1704782903
19,whitehorse,60.7161,-135.0538,256.58,84,75,1.03,CA,1704782888
20,iqaluit,63.7506,-68.5145,247.42,62,40,12.35,CA,1704782904
21,port alfred,-33.5906,26.891,294.92,92,8,0.45,ZA,1704782904
22,adamstown,-25.066,-130.1015,297.13,88,95,4.61,PN,1704782904
23,anar darah,32.7587,61.654,284.61,25,100,4.11,AF,1704782904
24,avarua,-21.2078,-159.775,299.18,83,40,5.14,CK,1704782904
25,usinsk,65.9939,57.5281,247.08,100,39,4.02,RU,1704782905
26,waitangi,-43.9535,-176.5597,289.72,93,100,2.24,NZ,1704782905
27,pangai,-19.8,-174.35,302.21,79,75,3.09,TO,1704782905
28,wuchang,44.9143,127.15,256.38,91,10,1.82,CN,1704782779
29,farkhar,36.5729,69.8578,286.31,16,1,0.57,AF,1704782905
30,los chavez,34.727,-106.7384,271.52,47,0,3.58,US,1704782906
31,susuman,62.7833,148.1667,238.14,97,100,0.89,RU,1704782906
32,alta,69.9689,23.2717,272.14,88,100,5.14,NO,1704782906
33,sinabang,2.4803,96.3801,300.17,82,100,1.62,ID,1704782906
34,laibin,23.7,109.2667,292.67,72,98,3.71,CN,1704782907
35,yellowknife,62.456,-114.3525,235.68,67,20,2.57,CA,1704782907
36,kalabo,-14.97,22.6814,296.41,77,100,3.11,ZM,1704782907
37,buala,-8.145,159.5921,301.44,81,100,2.02,SB,1704782907
38,cockburn town,21.4612,-71.1419,298.13,78,75,6.17,TC,1704782722
39,port mathurin,-19.6833,63.4167,300.9,69,69,2.23,MU,1704782908
40,port lincoln,-34.7333,135.8667,293.67,63,4,5.73,AU,1704782908
41,longyearbyen,78.2186,15.6401,262.06,73,75,7.2,SJ,1704782908
42,papatowai,-46.5619,169.4708,284.42,92,100,4.0,NZ,1704782908
43,urangan,-25.3,152.9,302.15,79,100,4.02,AU,1704782895
44,san jorge,-31.8962,-61.8598,295.28,83,2,1.16,AR,1704782909
45,ciudad lazaro cardenas,17.9583,-102.2,296.22,85,100,1.56,MX,1704782909
46,campbellton,48.0075,-66.6727,265.4,76,99,5.37,CA,1704782896
47,turaif,31.6725,38.6637,283.29,66,0,2.57,SA,1704782909
48,margaret river,-33.95,115.0667,294.69,55,0,8.4,AU,1704782909
49,utrik,11.2278,169.8474,299.95,71,100,8.52,MH,1704782910
50,san patricio,28.017,-97.5169,291.07,27,39,10.35,US,1704782910
51,ujae,8.9322,165.7642,301.1,65,100,9.35,MH,1704782910
52,punta arenas,-53.15,-70.9167,278.21,65,75,11.83,CL,1704782910
53,gibraleon,37.3763,-6.969,281.54,78,100,4.68,ES,1704782910
54,palangkaraya,-2.2,113.8333,305.15,59,97,0.61,ID,1704782911
55,hithadhoo,-0.6,73.0833,301.19,76,28,4.05,MV,1704782911
56,tiksi,71.6872,128.8694,240.69,96,100,5.94,RU,1704782911
57,atar,20.5169,-13.0499,290.94,20,100,3.52,MR,1704782911
58,klyuchi,52.2667,79.1667,257.77,85,100,7.89,RU,1704782912
59,ilulissat,69.2167,-51.1,266.16,86,100,4.12,GL,1704782912
60,kralendijk,12.15,-68.2667,300.14,78,40,7.72,BQ,1704782814
61,rongelap,11.1635,166.8941,300.23,79,94,9.08,MH,1704782913
62,aykhal,66.0,111.5,242.28,100,24,1.45,RU,1704782913
63,racine,42.7495,-88.0751,274.34,93,100,3.6,US,1704782913
64,stefan voda,46.5153,29.6631,262.61,82,100,7.52,MD,1704782913
65,puerto aysen,-45.4,-72.7,281.93,100,100,2.31,CL,1704782914
66,viedma,-40.8135,-62.9967,289.3,65,0,3.86,AR,1704782914
67,gerash,27.6652,54.1371,285.23,11,0,0.06,IR,1704782914
68,necochea,-38.5473,-58.7368,288.1,86,0,2.66,AR,1704782914
69,espera feliz,-20.6503,-41.9072,293.13,93,100,1.36,BR,1704782915
70,puerto natales,-51.7236,-72.4875,276.11,91,84,4.27,CL,1704782915
71,okhotsk,59.3833,143.3,245.43,82,99,3.81,RU,1704782916
72,ust-nera,64.5667,143.2,229.14,98,91,1.97,RU,1704782917
73,college,64.8569,-147.8028,260.32,78,75,0.0,US,1704782917
74,middelburg,-25.7751,29.4648,295.08,68,99,2.96,ZA,1704782917
75,hotan,37.0997,79.9269,278.06,24,36,0.95,CN,1704782918
76,nyurba,63.2842,118.3319,231.93,100,41,0.57,RU,1704782918
77,fort-shevchenko,44.5086,50.263,276.28,80,100,1.64,KZ,1704782918
78,stanley,54.868,-1.6985,275.8,74,75,4.12,GB,1704782918
79,hadibu,12.65,54.0333,297.95,70,39,9.06,YE,1704782918
80,salalah,17.0151,54.0924,299.2,36,20,6.69,OM,1704782919
81,brookings,44.3114,-96.7984,265.47,87,100,3.6,US,1704782919
82,meadow lake,34.8014,-106.5436,269.86,48,4,6.13,US,1704782919
83,sterling,39.0062,-77.4286,277.12,78,100,3.09,US,1704782919
84,anadyr,64.75,177.4833,253.43,76,75,7.0,RU,1704782920
85,hawaiian paradise park,19.5933,-154.9731,296.97,87,0,3.58,US,1704782920
86,isafjordur,66.0755,-23.124,278.29,94,100,6.86,IS,1704782920
87,dudinka,69.4058,86.1778,254.64,80,100,3.58,RU,1704782920
88,fort st. john,56.2499,-120.8529,254.09,84,100,4.12,CA,1704782921
89,bredasdorp,-34.5322,20.0403,294.55,64,9,5.74,ZA,1704782921
90,lihue,21.9789,-159.3672,295.92,73,40,9.77,US,1704782921
91,barah,13.7,30.3667,298.35,30,5,4.13,SD,1704782921
92,abalak,58.1286,68.5944,250.01,94,38,3.39,RU,1704782921
93,poronaysk,49.2167,143.1167,251.98,96,17,1.08,RU,1704782922
94,kone,-21.0595,164.8658,300.35,73,47,1.85,NC,1704782922
95,saipan,15.1355,145.701,302.54,74,40,7.2,MP,1704782922
96,santa cruz,-17.8,-63.1667,298.85,94,20,3.09,BO,1704782677
97,nikolayevsk-on-amure,53.1406,140.73,247.14,96,7,1.58,RU,1704782923
98,touros,-5.1989,-35.4608,300.0,75,99,4.03,BR,1704782923
99,yamada,39.4667,141.95,278.22,77,22,4.6,JP,1704782923
100,conception bay south,47.4999,-52.9981,270.12,86,100,10.38,CA,1704782923
101,reitz,-27.8014,28.4273,292.32,67,100,4.03,ZA,1704782923
102,al jawf,29.5,38.75,292.14,38,100,5.74,SA,1704782924
103,jamestown,42.097,-79.2353,273.72,83,0,5.14,US,1704782742
104,udachny,66.4167,112.4,234.91,100,70,1.5,RU,1704782924
105,mount pearl,47.5166,-52.7813,269.79,86,100,9.77,CA,1704782924
106,fuling,29.7022,107.3919,288.34,63,100,0.96,CN,1704782924
107,pont rouge,48.8833,-72.0825,257.31,87,7,2.45,CA,1704782925
108,bethel,41.3712,-73.414,271.71,84,0,1.54,US,1704782906
109,tolanaro,-25.0319,46.9987,298.19,94,75,4.12,MG,1704782925
110,juneau,58.3019,-134.4197,271.15,97,75,0.0,US,1704782804
111,polyarnyy,69.1989,33.4478,264.26,82,100,1.15,RU,1704782925
112,tarakan,3.3,117.6333,302.08,68,56,2.64,ID,1704782926
113,laguna,38.421,-121.4238,281.23,77,75,3.09,US,1704782926
114,kindu,-2.95,25.95,297.75,86,82,0.95,CD,1704782926
115,aasiaat,68.7098,-52.8699,261.26,93,100,4.71,GL,1704782926
116,lakota,5.8528,-5.6883,295.89,98,32,0.42,CI,1704782926
117,praya,14.9215,-23.5087,295.45,78,0,5.14,CV,1704782926
118,vilyuysk,63.7553,121.6247,229.82,100,100,0.89,RU,1704782927
119,albany,42.6001,-73.9662,271.23,89,96,0.27,US,1704782927
120,walvis bay,-22.9575,14.5053,291.44,77,64,1.48,NA,1704782927
121,patterson,37.4716,-121.1297,280.4,88,42,1.7,US,1704782845
122,talnakh,69.4865,88.3972,253.21,84,100,1.43,RU,1704782927
123,ribeira brava,32.65,-17.0667,293.55,84,28,1.63,PT,1704782928
124,kaynarca,41.0308,30.3075,278.25,87,100,5.94,TR,1704782928
125,luorong,24.4058,109.6086,289.38,82,97,2.92,CN,1704782928
126,ballina,-28.8667,153.5667,301.92,82,96,5.72,AU,1704782928
127,berdigestyakh,62.0989,126.6992,233.47,100,99,0.84,RU,1704782928
128,iskateley,67.6803,53.1512,252.05,100,91,2.24,RU,1704782929
129,armacao de buzios,-22.7469,-41.8817,299.18,96,100,4.1,BR,1704782929
130,west island,-12.1568,96.8225,303.14,79,40,7.72,CC,1704782929
131,arraial do cabo,-22.9661,-42.0278,297.48,95,100,5.4,BR,1704782929
132,le port,-20.9373,55.2919,304.13,73,86,2.09,RE,1704782929
133,narasannapeta,18.4167,84.05,300.35,52,5,4.81,IN,1704782930
134,xinyu,27.8043,114.9334,286.31,77,97,0.88,CN,1704782930
135,broken hill,-31.95,141.4333,302.85,32,0,3.06,AU,1704782930
136,wailua homesteads,22.0669,-159.378,295.59,89,40,9.77,US,1704782930
137,myitkyina,25.3833,97.4,298.63,28,0,0.57,MM,1704782930
138,puerto madero,14.7208,-92.4215,297.9,79,6,3.55,MX,1704782931
139,menomonie,44.8755,-91.9193,272.19,93,100,3.72,US,1704782931
140,west end,26.6833,-78.9667,296.14,81,100,12.51,BS,1704782896
141,pokhara,28.2333,83.9833,293.56,35,0,3.3,NP,1704782343
142,haiku-pauwela,20.9219,-156.3051,297.62,77,40,9.77,US,1704782931
143,kapa'a,22.0752,-159.319,296.33,87,40,9.77,US,1704782932
144,vilyuchinsk,52.9306,158.4028,258.3,83,90,2.95,RU,1704782932
145,hamilton,39.1834,-84.5333,275.92,93,100,7.2,US,1704782709
146,xinyang,32.1228,114.0656,287.1,29,100,5.12,CN,1704782864
147,vernon,50.2581,-119.2691,271.9,90,100,2.06,CA,1704782742
148,eyl,7.9803,49.8164,300.53,46,1,10.47,SO,1704782933
149,olonkinbyen,70.9221,-8.7187,271.42,94,100,1.63,SJ,1704782933
150,quepos,9.4236,-84.1652,298.53,73,7,1.82,CR,1704782933
151,kingston,17.997,-76.7936,300.68,76,20,7.72,JM,1704782848
152,toliara,-23.35,43.6667,303.92,63,7,2.96,MG,1704782933
153,san felipe,10.3399,-68.7425,295.84,92,100,1.62,VE,1704782933
154,ankazobe,-18.3167,47.1167,297.45,69,100,1.47,MG,1704782934
155,ilha de mocambique,-15.0342,40.7358,303.06,69,100,2.7,MZ,1704782934
156,st. john's,47.5649,-52.7093,270.25,85,100,9.77,CA,1704782934
157,palikir - national government center,6.9248,158.1611,302.62,74,75,7.72,FM,1704782934
158,ribeira grande,38.5167,-28.7,290.29,84,100,13.03,PT,1704782934
159,alaghsas,17.0187,8.0168,287.09,24,0,3.09,NE,1704782935
160,st. paul,44.9444,-93.0933,272.55,86,100,2.06,US,1704782935
161,keflavik,64.0049,-22.5624,281.1,100,100,13.38,IS,1704782935
162,ushuaia,-54.8,-68.3,276.96,81,75,10.29,AR,1704782801
163,sandnessjoen,66.0217,12.6316,279.44,100,75,3.09,NO,1704782935
164,east london,-33.0153,27.9116,294.67,88,75,1.54,ZA,1704782936
165,new norfolk,-42.7826,147.0587,293.55,38,7,1.88,AU,1704782936
166,minas de marcona,-15.2119,-75.1103,290.63,87,99,4.22,PE,1704782936
167,khovd,48.0056,91.6419,267.14,68,55,2.93,MN,1704782937
168,bedford,52.1346,-0.4663,274.63,78,53,6.01,GB,1704782786
169,praia da vitoria,38.7333,-27.0667,290.29,88,75,10.54,PT,1704782937
170,palapye,-22.546,27.1251,300.31,41,24,7.34,BW,1704782937
171,natal,-5.795,-35.2094,300.27,83,40,2.57,BR,1704782938
172,vorgashor,67.5833,63.95,244.07,100,99,1.83,RU,1704782938
173,krasnovishersk,60.4078,57.082,258.16,95,100,3.16,RU,1704782938
174,bubaque,11.2833,-15.8333,299.28,45,64,6.46,GW,1704782938
175,yuzhno-kurilsk,44.0306,145.8556,271.69,63,93,5.94,RU,1704782939
176,sweet home,44.3976,-122.7362,284.07,81,100,1.34,US,1704782939
177,saint-philippe,-21.3585,55.7679,302.1,80,100,4.14,RE,1704782939
178,downpatrick,54.3263,-5.7035,275.97,67,98,8.16,GB,1704782939
179,lebu,-37.6167,-73.65,285.3,81,0,8.01,CL,1704782940
180,el haouaria,37.05,11.0144,285.16,56,88,12.13,TN,1704782940
181,angaur state,6.906,134.13,302.02,73,21,8.3,PW,1704782940
182,namibe,-15.1961,12.1522,296.66,81,100,1.7,AO,1704782940
183,luba,3.4568,8.5547,296.09,72,1,0.89,GQ,1704782940
184,viana do castelo,41.6932,-8.8329,282.1,84,100,2.12,PT,1704782941
185,chonchi,-42.6128,-73.8092,283.77,84,82,1.15,CL,1704782897
186,pariaman,-0.619,100.12,304.18,82,96,2.59,ID,1704782941
187,gurun,5.8172,100.4738,305.03,74,100,3.24,MY,1704782941
188,saudarkrokur,65.7461,-19.6394,276.9,77,80,6.26,IS,1704782941
189,caleta de carquin,-11.0925,-77.6267,295.25,87,100,3.58,PE,1704782942
190,coyhaique,-45.5752,-72.0662,282.12,76,75,1.03,CL,1704782897
191,quelimane,-17.8786,36.8883,304.52,63,96,1.46,MZ,1704782942
192,inhambane,-23.865,35.3833,301.14,74,40,2.68,MZ,1704782942
193,bafoulabe,13.8065,-10.8321,295.36,17,78,1.04,ML,1704782943
194,cabedelo,-6.9811,-34.8339,299.52,76,70,3.57,BR,1704782943
195,sitka,57.0531,-135.33,275.09,80,20,0.0,US,1704782943
196,hilo,19.7297,-155.09,297.09,80,0,3.58,US,1704782944
197,constitucion,-35.3333,-72.4167,284.96,77,92,4.77,CL,1704782944
198,bumba,2.1833,22.4667,299.26,35,93,0.72,CD,1704782944
199,champerico,14.3,-91.9167,298.15,78,0,4.45,GT,1704782945
200,sur,22.5667,59.5289,296.7,37,0,4.54,OM,1704782945
201,chateaubriant,47.7167,-1.3833,271.99,81,8,2.51,FR,1704782945
202,roma,43.2128,-75.4557,272.64,94,100,1.54,US,1704782946
203,bowling green,36.9903,-86.4436,281.78,91,100,3.6,US,1704782722
204,kotido,2.9806,34.1331,300.16,38,33,7.16,UG,1704782946
205,remire-montjoly,4.9167,-52.2667,298.17,100,75,0.0,GF,1704782947
206,kuvandyk,51.4781,57.3552,258.44,88,100,1.02,RU,1704782947
207,flying fish cove,-10.4217,105.6791,297.97,100,75,3.09,CX,1704782947
208,riyadh,24.6877,46.7219,287.23,20,0,4.57,SA,1704782920
209,arkalyk,50.2486,66.9114,257.02,81,100,3.86,KZ,1704782948
210,cleveland,41.4995,-81.6954,275.98,78,100,3.6,US,1704782338
211,nar'yan-mar,67.6713,53.087,252.1,100,90,2.24,RU,1704782948
212,namdrik,5.5994,168.1028,301.02,76,45,9.71,MH,1704782948
213,saint-francois,46.4154,3.9054,271.84,86,100,1.03,FR,1704782949
214,assai,-23.3733,-50.8414,299.07,63,0,1.56,BR,1704782949
215,marsa alam,25.0757,34.8918,296.68,63,56,1.29,EG,1704782949
216,lazaro cardenas,17.9583,-102.2,296.22,85,100,1.56,MX,1704782949
217,cova figueira,14.8905,-24.2934,294.03,68,100,4.82,CV,1704782950
218,thompson,55.7435,-97.8558,244.24,76,40,1.03,CA,1704782950
219,perry,37.2506,-83.1999,283.25,70,100,4.57,US,1704782950
220,beroroha,-21.6667,45.1667,305.03,59,14,0.84,MG,1704782950
221,fortaleza,-3.7227,-38.5247,301.05,83,40,3.09,BR,1704782908
222,bitkine,11.9801,18.2138,297.79,13,0,2.22,TD,1704782951
223,dryden,49.7833,-92.7503,263.31,92,100,1.03,CA,1704782951
224,cammarata,37.6299,13.6315,280.4,93,63,2.45,IT,1704782951
225,prince george,53.9166,-122.753,267.84,95,100,4.12,CA,1704782951
226,am timan,11.0297,20.2827,297.51,17,0,2.96,TD,1704782952
227,broome,42.2506,-75.833,272.36,93,75,1.54,US,1704782952
228,shenjiamen,29.9576,122.298,285.44,69,0,3.06,CN,1704782952
229,santo antonio,-6.3106,-35.4789,297.68,85,94,1.73,BR,1704782952
230,payyannur,12.1,75.2,301.64,78,70,2.18,IN,1704782953
231,mersing,2.4312,103.8405,303.1,79,40,4.63,MY,1704782953
232,bereket,39.2446,55.5154,289.43,29,100,5.31,TM,1704782953
233,cabo san lucas,22.8909,-109.9124,291.9,62,87,0.45,MX,1704782446
234,rikaze,29.25,88.8833,277.17,9,0,0.21,CN,1704782953
235,acarau,-2.8856,-40.12,298.67,82,88,3.57,BR,1704782954
236,fortuna,40.5982,-124.1573,284.63,93,100,5.66,US,1704782954
237,uturoa,-16.7333,-151.4333,300.67,78,21,6.42,PF,1704782954
238,vadso,70.0744,29.7487,268.24,86,100,2.06,NO,1704782954
239,eenhana,-17.4667,16.3333,295.32,77,100,2.34,NA,1704782954
240,kartarpur,31.44,75.4997,291.07,26,23,0.73,IN,1704782955
241,happy valley-goose bay,53.3168,-60.3315,257.32,47,20,6.69,CA,1704782955
242,trairi,-3.2778,-39.2689,298.58,81,81,2.42,BR,1704782955
243,sisimiut,66.9395,-53.6735,263.93,92,100,4.36,GL,1704782956
244,puerto gaitan,4.3133,-72.0816,297.88,54,54,2.75,CO,1704782956
245,birnin kudu,11.4459,9.4984,291.72,14,0,0.73,NG,1704782956
246,saguenay,48.4168,-71.0657,259.61,80,20,4.12,CA,1704782915
247,fort bragg,35.139,-79.006,279.23,77,100,3.09,US,1704782956
248,manokwari,-0.8667,134.0833,301.92,74,79,4.21,ID,1704782957
249,holualoa,19.6228,-155.9522,297.06,77,20,10.8,US,1704782957
250,luwuk,-0.9516,122.7875,302.75,77,99,0.48,ID,1704782957
251,moyynkum,44.2914,72.9469,281.34,71,100,3.08,KZ,1704782957
252,la punta,-33.1837,-66.3127,293.16,77,22,3.61,AR,1704782957
253,saint-joseph,-21.3667,55.6167,301.54,76,88,4.73,RE,1704782958
254,fale old settlement,-9.3852,-171.2468,302.72,70,100,4.26,TK,1704782958
255,kourou,5.1552,-52.6478,298.18,92,100,2.58,GF,1704782958
256,praia,14.9215,-23.5087,295.45,78,0,5.14,CV,1704782959
257,jayapura,-2.5333,140.7,303.81,78,100,1.38,ID,1704782958
258,rio grande,-32.035,-52.0986,290.9,86,0,0.75,BR,1704782959
259,naze,28.3667,129.4833,287.66,90,100,1.77,JP,1704782959
260,arteche,12.2645,125.4048,300.76,86,38,3.98,PH,1704782959
261,urucara,-2.5364,-57.76,296.23,99,100,1.18,BR,1704782959
262,gharyan,32.1722,13.0203,277.32,63,0,4.52,LY,1704782960
263,kidal,18.4411,1.4078,291.64,16,0,4.93,ML,1704782960
264,wabag,-5.4781,143.7021,289.87,94,100,0.79,PG,1704782960
265,bilibino,68.0546,166.4372,242.62,97,100,1.38,RU,1704782960
266,lodja,-3.4833,23.4333,294.97,97,100,0.58,CD,1704782961
267,hailey,43.5196,-114.3153,266.07,78,100,1.54,US,1704782779
268,pointe michel,15.25,-61.3833,299.35,77,100,6.76,DM,1704782961
269,afaahiti,-17.75,-149.2833,299.08,84,100,6.95,PF,1704782961
270,hirara,24.8,125.2833,293.3,88,75,6.17,JP,1704782962
271,georgetown,5.4112,100.3354,305.11,79,20,2.68,MY,1704782785
272,aleksandrovskoye,44.7142,43.0008,281.09,80,81,10.51,RU,1704782962
273,scarborough,54.2797,-0.4044,276.43,76,67,3.58,GB,1704782962
274,tamanrasset,22.785,5.5228,286.1,18,0,5.14,DZ,1704782963
275,hornell,42.3279,-77.6611,274.87,84,100,2.68,US,1704782963
276,chandler,33.3062,-111.8412,279.72,54,0,3.09,US,1704782920
277,hammerfest,70.6634,23.6821,271.4,100,100,1.54,NO,1704782964
278,tindouf,27.6711,-8.1474,281.4,39,77,2.57,DZ,1704782964
